epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0474,2.04769,3.67136,2.14919,0.02884,0.26389,0.02195,0.0043,2.98957,134.825,6.87413,0.000662447,0.000662447,0.000662447
2,73.9407,2.13964,2.61962,2.23057,0.00353,0.13889,0.00124,0.00027,3.97838,131.146,5.80499,0.00132034,0.00132034,0.00132034
3,107.789,2.15199,2.693,2.26261,0.36998,0.21528,0.22972,0.08665,2.27957,2.73089,2.60788,0.00196944,0.00196944,0.00196944
4,140.708,2.08463,2.57149,2.18715,0.19527,0.21181,0.06563,0.02137,2.5874,3.38366,2.79885,0.0019604,0.0019604,0.0019604
5,173.575,2.04229,2.56424,2.12843,0.38117,0.25347,0.20997,0.08285,2.03121,3.005,2.27655,0.0019472,0.0019472,0.0019472
6,206.365,1.97445,2.3821,2.09469,0.24526,0.32947,0.22958,0.08681,2.22702,2.57994,2.49768,0.001934,0.001934,0.001934
7,239.302,1.92335,2.24978,2.04521,0.4126,0.24653,0.21594,0.06826,2.39311,2.90123,2.70835,0.0019208,0.0019208,0.0019208
8,272.307,1.90901,2.26093,2.02759,0.24627,0.42708,0.28924,0.11447,2.06864,2.9047,2.38852,0.0019076,0.0019076,0.0019076
9,305.514,1.88762,2.20938,1.9991,0.58523,0.36745,0.44305,0.17672,2.05389,2.26122,2.30301,0.0018944,0.0018944,0.0018944
10,338.529,1.88655,2.10811,2.00342,0.57104,0.39583,0.45254,0.16925,2.09862,2.07005,2.43215,0.0018812,0.0018812,0.0018812
11,371.678,1.86301,2.13867,2.00142,0.40402,0.45139,0.41079,0.14967,2.05854,2.97409,2.33695,0.001868,0.001868,0.001868
12,404.557,1.84072,2.03688,1.96004,0.66148,0.51736,0.56507,0.23503,2.07907,1.77399,2.34225,0.0018548,0.0018548,0.0018548
13,437.802,1.80341,2.00316,1.93039,0.67237,0.52778,0.59547,0.24383,1.96592,1.92693,2.21642,0.0018416,0.0018416,0.0018416
14,470.772,1.82295,1.94071,1.96505,0.68959,0.49306,0.53561,0.19288,2.23081,1.88397,2.53776,0.0018284,0.0018284,0.0018284
15,503.812,1.83292,1.98616,1.95241,0.69896,0.53819,0.61298,0.24258,1.98828,1.71879,2.23427,0.0018152,0.0018152,0.0018152
16,537.009,1.78961,1.85727,1.92792,0.69173,0.51736,0.57221,0.23218,2.0113,1.78049,2.29902,0.001802,0.001802,0.001802
17,570.301,1.79982,1.85748,1.91459,0.6141,0.52083,0.55994,0.22316,2.01723,1.7876,2.27408,0.0017888,0.0017888,0.0017888
18,603.43,1.79698,1.81623,1.90554,0.7214,0.60417,0.61975,0.25527,2.02508,1.65872,2.26993,0.0017756,0.0017756,0.0017756
19,636.784,1.76918,1.8652,1.88668,0.71655,0.51736,0.58255,0.24693,2.07106,1.77004,2.27299,0.0017624,0.0017624,0.0017624
20,669.814,1.7896,1.76778,1.86783,0.7528,0.56944,0.6026,0.22706,2.10198,1.72795,2.2066,0.0017492,0.0017492,0.0017492
21,703.025,1.75653,1.77396,1.87809,0.6968,0.55858,0.59788,0.22962,2.05284,1.67295,2.28595,0.001736,0.001736,0.001736
22,736.025,1.77142,1.76114,1.90077,0.75433,0.54167,0.6035,0.25839,2.06072,1.64344,2.28545,0.0017228,0.0017228,0.0017228
23,769.21,1.75144,1.76335,1.8615,0.68544,0.5145,0.5804,0.22685,2.13791,1.72655,2.33964,0.0017096,0.0017096,0.0017096
24,802.413,1.73483,1.74614,1.87739,0.64334,0.57639,0.62432,0.25544,2.05606,1.50236,2.29737,0.0016964,0.0016964,0.0016964
25,835.89,1.7276,1.66415,1.84802,0.75665,0.52901,0.5974,0.23571,2.15615,1.78039,2.38455,0.0016832,0.0016832,0.0016832
26,869.144,1.71555,1.71901,1.85931,0.75516,0.54167,0.62825,0.25829,1.99251,1.60555,2.25048,0.00167,0.00167,0.00167
27,902.452,1.71719,1.70291,1.85955,0.75845,0.53819,0.63654,0.25584,1.98311,1.58988,2.23317,0.0016568,0.0016568,0.0016568
28,935.602,1.7151,1.67428,1.84242,0.73647,0.60069,0.62696,0.26633,2.0585,1.50523,2.30435,0.0016436,0.0016436,0.0016436
29,969.072,1.73539,1.63767,1.85169,0.74951,0.59375,0.63877,0.26995,1.98279,1.4771,2.17427,0.0016304,0.0016304,0.0016304
30,1002.33,1.71594,1.62034,1.8516,0.64146,0.58681,0.56612,0.22378,2.20005,1.58182,2.51109,0.0016172,0.0016172,0.0016172
31,1035.59,1.69507,1.6063,1.84159,0.75005,0.57306,0.64389,0.26724,2.08008,1.46104,2.30414,0.001604,0.001604,0.001604
32,1068.76,1.70983,1.63446,1.85426,0.77265,0.6254,0.66283,0.27194,2.11167,1.47141,2.26632,0.0015908,0.0015908,0.0015908
33,1102.03,1.70198,1.59987,1.82623,0.79608,0.60069,0.64339,0.2602,2.05728,1.55918,2.29893,0.0015776,0.0015776,0.0015776
34,1135.17,1.70431,1.5681,1.83784,0.785,0.65278,0.7002,0.3039,2.03585,1.3727,2.21859,0.0015644,0.0015644,0.0015644
35,1168.51,1.69681,1.58732,1.81377,0.8044,0.63194,0.66517,0.2746,2.03758,1.46123,2.23658,0.0015512,0.0015512,0.0015512
36,1201.56,1.66876,1.51578,1.80769,0.77197,0.63477,0.66453,0.28231,2.07994,1.37257,2.31275,0.001538,0.001538,0.001538
37,1234.79,1.67021,1.54047,1.80969,0.77105,0.62847,0.63775,0.26492,2.12217,1.39442,2.34052,0.0015248,0.0015248,0.0015248
38,1267.89,1.69593,1.57508,1.83036,0.73698,0.58375,0.63333,0.27134,2.03519,1.49544,2.22042,0.0015116,0.0015116,0.0015116
39,1301.15,1.67285,1.51811,1.79831,0.75069,0.60764,0.61517,0.2517,2.09877,1.37197,2.34433,0.0014984,0.0014984,0.0014984
40,1334.14,1.66805,1.52165,1.81054,0.75316,0.62507,0.65934,0.2809,2.08224,1.42854,2.2668,0.0014852,0.0014852,0.0014852
41,1367.53,1.67711,1.50453,1.80456,0.78075,0.60417,0.63626,0.26903,2.0444,1.34352,2.26316,0.001472,0.001472,0.001472
