Modelo,Precision,Recall,F1-score,mAP@50,mAP@50:95,Tamaño(MB)
YOLOv8n M1,0.8687,0.7353,0.7964,0.7017,0.3503,6.3
YOLOv8s M1,0.8692,0.8775,0.8733,0.8576,0.4353,22.5
